Id_Website	Id_proxy	Success	timestamp
388	24	False	0:32:13
72	11	False	0:01:40
424	31	True	0:21:18
714	35	False	0:38:13
395	35	False	0:04:37
611	6	False	0:03:49
72	11	False	0:01:47
790	34	True	3:09:60
519	56	True	0:01:05
384	52	True	3:10:66
257	10	False	3:10:29
371	50	True	0:04:35
414	8	False	0:01:60
60	43	False	3:11:62
759	46	False	0:04:38
388	24	False	0:37:28
208	10	False	0:45:02
57	48	False	0:10:95
257	10	False	3:10:15
202	21	True	0:17:62
200	42	True	3:08:52
545	48	False	0:20:02
158	15	False	0:47:51
437	49	True	1:03:77
282	60	False	0:18:32
60	43	False	3:11:59
768	41	False	0:46:66
426	43	False	3:09:00
430	56	False	3:08:85
713	24	True	0:29:98
71	58	False	0:22:05
516	3	True	0:36:95
592	49	True	0:00:91
86	14	False	0:50:58
384	52	True	3:10:44
257	10	False	3:10:04
102	40	False	0:10:68
92	3	False	0:02:09
734	16	True	0:04:64
371	33	False	3:09:49
60	43	False	3:11:42
183	5	False	3:10:51
430	56	False	3:08:77
383	25	True	3:11:42
6	50	False	0:12:35
786	4	False	0:19:49
691	58	False	0:43:84
60	43	False	3:11:33
569	52	False	0:28:28
642	18	False	0:04:62
161	4	False	0:41:50
26	47	True	0:04:72
80	50	False	0:05:23
388	32	False	0:13:61
26	47	True	0:04:73
183	5	False	3:10:62
245	21	True	0:32:13
402	55	False	3:11:21
92	3	False	0:02:30
458	53	False	3:10:05
458	53	False	3:10:09
677	18	True	0:01:92
258	33	False	0:34:53
643	45	False	0:03:69
172	33	False	0:03:39
494	46	True	0:38:51
162	21	False	3:08:86
381	20	False	0:32:70
402	55	False	3:11:33
371	50	True	0:04:80
85	11	False	0:51:04
92	3	False	0:02:54
183	5	False	3:10:05
464	55	False	0:50:67
510	38	False	0:11:88
529	16	False	0:39:47
677	18	False	0:01:71
313	14	False	0:08:31
643	45	False	0:03:80
795	14	True	3:12:32
201	12	False	3:11:11
329	3	False	3:11:84
201	12	False	3:11:17
20	50	True	3:12:09
183	5	False	3:10:16
642	18	False	0:04:14
192	34	False	0:37:21
559	11	True	0:38:94
170	58	False	0:12:74
677	18	True	0:01:85
380	49	False	3:12:02
330	17	False	3:08:98
394	29	False	0:59:94
201	12	False	3:11:01
422	58	False	0:18:31
729	60	True	0:43:87
596	16	False	0:13:32
30	20	False	0:48:86
131	60	False	0:13:72
458	53	False	3:10:52
795	14	True	3:12:19
685	13	False	0:37:05
782	11	True	0:32:33
392	11	True	0:51:78
114	27	False	0:53:11
416	37	False	0:04:96
554	6	False	0:08:62
745	56	False	0:15:12
162	21	False	3:08:45
91	58	True	0:11:70
797	10	False	0:35:80
527	48	True	0:03:76
659	42	False	3:12:13
22	18	False	0:07:04
659	42	False	3:12:19
608	14	False	0:18:47
659	42	False	3:12:10
458	53	False	3:10:62
766	52	False	0:46:02
746	56	False	0:29:83
208	36	False	0:02:81
343	2	False	0:24:93
29	37	False	0:30:17
777	34	True	0:37:84
109	10	False	0:14:63
208	36	False	0:47:17
257	10	False	3:10:98
126	27	False	0:23:14
534	18	False	0:13:90
386	24	False	3:11:60
605	43	False	0:23:43
7	46	False	0:52:25
140	41	False	0:22:47
651	12	True	0:12:59
474	50	True	0:12:27
539	5	False	3:10:90
539	5	False	3:10:95
385	39	False	0:36:62
297	38	False	0:22:44
727	27	False	0:49:31
216	13	False	0:26:10
578	49	False	0:42:54
105	9	False	0:25:03
240	54	False	0:32:90
91	46	False	0:16:94
315	37	False	0:02:34
539	5	False	3:10:47
33	18	True	0:20:04
747	48	False	0:15:88
386	24	False	3:11:44
293	36	False	0:38:51
678	15	True	0:44:98
166	29	False	0:46:80
798	26	False	0:49:40
539	5	False	3:10:39
257	10	False	3:10:58
257	10	False	3:10:59
502	59	True	0:03:48
315	38	False	0:46:02
39	49	False	3:10:73
220	17	True	3:08:76
166	23	False	1:01:00
451	53	True	0:32:15
479	48	False	0:07:38
675	55	True	0:21:85
309	11	True	0:45:41
641	38	False	0:01:55
188	47	False	0:55:76
799	26	False	0:29:14
488	53	False	0:07:08
393	3	False	3:12:08
201	12	False	3:11:92
788	14	True	0:13:88
56	30	False	3:12:35
52	59	False	0:43:26
289	30	True	0:29:99
711	26	False	0:10:80
520	15	False	3:08:62
655	28	False	0:01:60
321	19	True	0:11:90
201	12	False	3:11:87
121	13	True	0:03:06
171	53	False	0:00:79
539	5	False	3:10:50
343	47	False	0:03:83
273	57	False	0:15:45
387	3	False	3:10:72
745	56	False	0:04:18
578	32	True	0:50:75
239	8	False	0:31:95
151	12	False	0:00:96
113	45	False	0:46:13
608	59	False	0:25:96
501	10	False	3:11:63
315	27	True	0:43:15
501	10	False	3:11:67
724	58	False	0:02:93
452	2	False	0:22:18
5	5	False	0:50:08
160	23	False	3:10:75
448	5	False	3:08:51
